teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4000,5.0,0.0,0.1192,1024,95.0,-1.0,2772.4806,1.0
4000,5.0,0.0,0.1192,1024,95.0,-0.75,2393.4232,1.0
4000,5.0,0.0,0.1192,1024,95.0,-0.5,2114.7765,1.0
4000,5.0,0.0,0.1192,1024,95.0,-0.25,1936.0868,1.0
4000,5.0,0.0,0.1192,1024,95.0,0.0,1858.179,1.0
4000,5.0,0.0,0.1192,1024,95.0,0.25,1825.2787,1.0
4000,5.0,0.0,0.1192,1024,95.0,0.5,1892.6553,1.0
4000,5.0,0.0,0.1192,1024,95.0,0.75,2059.9338,1.0
4000,5.0,0.0,0.1192,1024,95.5,-1.0,2746.5274,1.0
4000,5.0,0.0,0.1192,1024,95.5,-0.75,2370.1279,1.0
4000,5.0,0.0,0.1192,1024,95.5,-0.5,2093.596,1.0
4000,5.0,0.0,0.1192,1024,95.5,-0.25,1918.2886,1.0
4000,5.0,0.0,0.1192,1024,95.5,0.0,1842.4806,1.0
4000,5.0,0.0,0.1192,1024,95.5,0.25,1812.7907,1.0
4000,5.0,0.0,0.1192,1024,95.5,0.5,1882.9993,1.0
4000,5.0,0.0,0.1192,1024,95.5,0.75,2051.715,1.0
4000,5.0,0.0,0.1192,1024,96.0,-1.0,2722.2121,1.0
4000,5.0,0.0,0.1192,1024,96.0,-0.75,2348.8742,1.0
4000,5.0,0.0,0.1192,1024,96.0,-0.5,2075.5547,1.0
4000,5.0,0.0,0.1192,1024,96.0,-0.25,1903.0041,1.0
4000,5.0,0.0,0.1192,1024,96.0,0.0,1829.6517,1.0
4000,5.0,0.0,0.1192,1024,96.0,0.25,1802.634,1.0
4000,5.0,0.0,0.1192,1024,96.0,0.5,1873.8322,1.0
4000,5.0,0.0,0.1192,1024,96.0,0.75,2047.2798,1.0
4000,5.0,0.0,0.1192,1024,96.5,-1.0,2701.2649,1.0
4000,5.0,0.0,0.1192,1024,96.5,-0.75,2330.346,1.0
4000,5.0,0.0,0.1192,1024,96.5,-0.5,2059.3863,1.0
4000,5.0,0.0,0.1192,1024,96.5,-0.25,1888.989,1.0
4000,5.0,0.0,0.1192,1024,96.5,0.0,1817.5333,1.0
4000,5.0,0.0,0.1192,1024,96.5,0.25,1794.9851,1.0
4000,5.0,0.0,0.1192,1024,96.5,0.5,1868.5671,1.0
4000,5.0,0.0,0.1192,1024,96.5,0.75,2041.7243,1.0
4000,5.0,0.0,0.1192,1024,97.0,-1.0,2681.3543,1.0
4000,5.0,0.0,0.1192,1024,97.0,-0.75,2313.8247,1.0
4000,5.0,0.0,0.1192,1024,97.0,-0.5,2045.7153,1.0
4000,5.0,0.0,0.1192,1024,97.0,-0.25,1877.4969,1.0
4000,5.0,0.0,0.1192,1024,97.0,0.0,1808.7296,1.0
4000,5.0,0.0,0.1192,1024,97.0,0.25,1786.7941,1.0
4000,5.0,0.0,0.1192,1024,97.0,0.5,1862.7186,1.0
4000,5.0,0.0,0.1192,1024,97.0,0.75,2038.1104,1.0
4000,5.0,0.0,0.1192,1024,97.5,-1.0,2665.2314,1.0
4000,5.0,0.0,0.1192,1024,97.5,-0.75,2299.8969,1.0
4000,5.0,0.0,0.1192,1024,97.5,-0.5,2034.5588,1.0
4000,5.0,0.0,0.1192,1024,97.5,-0.25,1868.0692,1.0
4000,5.0,0.0,0.1192,1024,97.5,0.0,1800.5864,1.0
4000,5.0,0.0,0.1192,1024,97.5,0.25,1780.4181,1.0
4000,5.0,0.0,0.1192,1024,97.5,0.5,1858.0013,1.0
4000,5.0,0.0,0.1192,1024,97.5,0.75,2035.1139,1.0
4000,5.0,0.0,0.1192,1024,98.0,-1.0,2652.5439,1.0
4000,5.0,0.0,0.1192,1024,98.0,-0.75,2289.9929,1.0
4000,5.0,0.0,0.1192,1024,98.0,-0.5,2026.2758,1.0
4000,5.0,0.0,0.1192,1024,98.0,-0.25,1860.8299,1.0
4000,5.0,0.0,0.1192,1024,98.0,0.0,1796.0946,1.0
4000,5.0,0.0,0.1192,1024,98.0,0.25,1777.5366,1.0
4000,5.0,0.0,0.1192,1024,98.0,0.5,1857.1487,1.0
4000,5.0,0.0,0.1192,1024,98.0,0.75,2035.4024,1.0
4000,5.0,0.0,0.1192,1024,98.5,-1.0,2643.453,1.0
4000,5.0,0.0,0.1192,1024,98.5,-0.75,2281.9181,1.0
4000,5.0,0.0,0.1192,1024,98.5,-0.5,2020.13,1.0
4000,5.0,0.0,0.1192,1024,98.5,-0.25,1857.0977,1.0
4000,5.0,0.0,0.1192,1024,98.5,0.0,1794.0595,1.0
4000,5.0,0.0,0.1192,1024,98.5,0.25,1776.8834,1.0
4000,5.0,0.0,0.1192,1024,98.5,0.5,1856.7881,1.0
4000,5.0,0.0,0.1192,1024,98.5,0.75,2035.7315,1.0
4000,5.0,0.0,0.1192,1024,99.0,-1.0,2637.5828,1.0
4000,5.0,0.0,0.1192,1024,99.0,-0.75,2277.8701,1.0
4000,5.0,0.0,0.1192,1024,99.0,-0.5,2017.5271,1.0
4000,5.0,0.0,0.1192,1024,99.0,-0.25,1855.1706,1.0
4000,5.0,0.0,0.1192,1024,99.0,0.0,1793.1562,1.0
4000,5.0,0.0,0.1192,1024,99.0,0.25,1777.1492,1.0
4000,5.0,0.0,0.1192,1024,99.0,0.5,1859.0046,1.0
4000,5.0,0.0,0.1192,1024,99.0,0.75,2039.3567,1.0
4000,5.0,0.0,0.1192,1024,99.5,-1.0,2634.3971,1.0
4000,5.0,0.0,0.1192,1024,99.5,-0.75,2275.4101,1.0
4000,5.0,0.0,0.1192,1024,99.5,-0.5,2016.0,1.0
4000,5.0,0.0,0.1192,1024,99.5,-0.25,1855.9929,1.0
4000,5.0,0.0,0.1192,1024,99.5,0.0,1795.565,1.0
4000,5.0,0.0,0.1192,1024,99.5,0.25,1779.6839,1.0
4000,5.0,0.0,0.1192,1024,99.5,0.5,1862.8967,1.0
4000,5.0,0.0,0.1192,1024,99.5,0.75,2043.4389,1.0
4000,5.0,0.0,0.1192,1024,100.0,-1.0,2633.1589,1.0
4000,5.0,0.0,0.1192,1024,100.0,-0.75,2275.7198,1.0
4000,5.0,0.0,0.1192,1024,100.0,-0.5,2018.3462,1.0
4000,5.0,0.0,0.1192,1024,100.0,-0.25,1859.4607,1.0
4000,5.0,0.0,0.1192,1024,100.0,0.0,1798.4739,1.0
4000,5.0,0.0,0.1192,1024,100.0,0.25,1783.8192,1.0
4000,5.0,0.0,0.1192,1024,100.0,0.5,1867.5084,1.0
4000,5.0,0.0,0.1192,1024,100.0,0.75,2048.2713,1.0
4000,5.0,0.0,0.1192,1024,100.5,-1.0,2634.901,1.0
4000,5.0,0.0,0.1192,1024,100.5,-0.75,2278.3019,1.0
4000,5.0,0.0,0.1192,1024,100.5,-0.5,2021.8231,1.0
4000,5.0,0.0,0.1192,1024,100.5,-0.25,1863.6132,1.0
4000,5.0,0.0,0.1192,1024,100.5,0.0,1804.0954,1.0
4000,5.0,0.0,0.1192,1024,100.5,0.25,1790.12,1.0
4000,5.0,0.0,0.1192,1024,100.5,0.5,1873.2481,1.0
4000,5.0,0.0,0.1192,1024,100.5,0.75,2054.1211,1.0
4000,5.0,0.0,0.1192,1024,101.0,-1.0,2639.0084,1.0
4000,5.0,0.0,0.1192,1024,101.0,-0.75,2284.1147,1.0
4000,5.0,0.0,0.1192,1024,101.0,-0.5,2027.2928,1.0
4000,5.0,0.0,0.1192,1024,101.0,-0.25,1869.8969,1.0
4000,5.0,0.0,0.1192,1024,101.0,0.0,1810.2121,1.0
4000,5.0,0.0,0.1192,1024,101.0,0.25,1796.6188,1.0
4000,5.0,0.0,0.1192,1024,101.0,0.5,1879.8575,1.0
4000,5.0,0.0,0.1192,1024,101.0,0.75,2061.2745,1.0
4000,5.0,0.0,0.1192,1024,101.5,-1.0,2646.2704,1.0
4000,5.0,0.0,0.1192,1024,101.5,-0.75,2291.3241,1.0
4000,5.0,0.0,0.1192,1024,101.5,-0.5,2033.8115,1.0
4000,5.0,0.0,0.1192,1024,101.5,-0.25,1875.8153,1.0
4000,5.0,0.0,0.1192,1024,101.5,0.0,1818.0077,1.0
4000,5.0,0.0,0.1192,1024,101.5,0.25,1804.1275,1.0
4000,5.0,0.0,0.1192,1024,101.5,0.5,1888.6291,1.0
4000,5.0,0.0,0.1192,1024,101.5,0.75,2071.2734,1.0
4000,5.0,0.0,0.1192,1024,102.0,-1.0,2652.5477,1.0
4000,5.0,0.0,0.1192,1024,102.0,-0.75,2296.4622,1.0
4000,5.0,0.0,0.1192,1024,102.0,-0.5,2039.6298,1.0
4000,5.0,0.0,0.1192,1024,102.0,-0.25,1884.4205,1.0
4000,5.0,0.0,0.1192,1024,102.0,0.0,1826.4109,1.0
4000,5.0,0.0,0.1192,1024,102.0,0.25,1813.0908,1.0
4000,5.0,0.0,0.1192,1024,102.0,0.5,1897.3396,1.0
4000,5.0,0.0,0.1192,1024,102.0,0.75,2079.6774,1.0
4000,5.0,0.0,0.1192,1024,102.5,-1.0,2658.9549,1.0
4000,5.0,0.0,0.1192,1024,102.5,-0.75,2303.4834,1.0
4000,5.0,0.0,0.1192,1024,102.5,-0.5,2047.7176,1.0
4000,5.0,0.0,0.1192,1024,102.5,-0.25,1893.035,1.0
4000,5.0,0.0,0.1192,1024,102.5,0.0,1835.698,1.0
4000,5.0,0.0,0.1192,1024,102.5,0.25,1821.261,1.0
4000,5.0,0.0,0.1192,1024,102.5,0.5,1906.2232,1.0
4000,5.0,0.0,0.1192,1024,102.5,0.75,2088.5881,1.0
4000,5.0,0.0,0.1192,1024,103.0,-1.0,2665.6349,1.0
4000,5.0,0.0,0.1192,1024,103.0,-0.75,2310.8251,1.0
4000,5.0,0.0,0.1192,1024,103.0,-0.5,2055.8642,1.0
4000,5.0,0.0,0.1192,1024,103.0,-0.25,1900.9748,1.0
4000,5.0,0.0,0.1192,1024,103.0,0.0,1842.9632,1.0
4000,5.0,0.0,0.1192,1024,103.0,0.25,1829.4856,1.0
4000,5.0,0.0,0.1192,1024,103.0,0.5,1914.611,1.0
4000,5.0,0.0,0.1192,1024,103.0,0.75,2098.2953,1.0
4000,5.0,0.0,0.1192,1024,103.5,-1.0,2673.9974,1.0
4000,5.0,0.0,0.1192,1024,103.5,-0.75,2319.9008,1.0
4000,5.0,0.0,0.1192,1024,103.5,-0.5,2064.6069,1.0
4000,5.0,0.0,0.1192,1024,103.5,-0.25,1909.2472,1.0
4000,5.0,0.0,0.1192,1024,103.5,0.0,1851.6859,1.0
4000,5.0,0.0,0.1192,1024,103.5,0.25,1838.6046,1.0
4000,5.0,0.0,0.1192,1024,103.5,0.5,1925.0145,1.0
4000,5.0,0.0,0.1192,1024,103.5,0.75,2109.2323,1.0
4000,5.0,0.0,0.1192,1024,104.0,-1.0,2680.6242,1.0
4000,5.0,0.0,0.1192,1024,104.0,-0.75,2327.0155,1.0
4000,5.0,0.0,0.1192,1024,104.0,-0.5,2072.3781,1.0
4000,5.0,0.0,0.1192,1024,104.0,-0.25,1917.612,1.0
4000,5.0,0.0,0.1192,1024,104.0,0.0,1859.3151,1.0
4000,5.0,0.0,0.1192,1024,104.0,0.25,1847.7448,1.0
4000,5.0,0.0,0.1192,1024,104.0,0.5,1935.1334,1.0
4000,5.0,0.0,0.1192,1024,104.0,0.75,2119.2811,1.0
4000,5.0,0.0,0.1192,1024,104.5,-1.0,2688.6656,1.0
4000,5.0,0.0,0.1192,1024,104.5,-0.75,2335.9902,1.0
4000,5.0,0.0,0.1192,1024,104.5,-0.5,2081.9304,1.0
4000,5.0,0.0,0.1192,1024,104.5,-0.25,1925.9545,1.0
4000,5.0,0.0,0.1192,1024,104.5,0.0,1870.1918,1.0
4000,5.0,0.0,0.1192,1024,104.5,0.25,1859.3376,1.0
4000,5.0,0.0,0.1192,1024,104.5,0.5,1946.0844,1.0
4000,5.0,0.0,0.1192,1024,104.5,0.75,2131.2265,1.0
4100,5.0,0.0,0.1334,1024,95.0,-1.0,2636.7708,1.0
4100,5.0,0.0,0.1334,1024,95.0,-0.75,2262.0626,1.0
4100,5.0,0.0,0.1334,1024,95.0,-0.5,1985.9587,1.0
4100,5.0,0.0,0.1334,1024,95.0,-0.25,1808.5907,1.0
4100,5.0,0.0,0.1334,1024,95.0,0.0,1728.9627,1.0
4100,5.0,0.0,0.1334,1024,95.0,0.25,1696.8464,1.0
4100,5.0,0.0,0.1334,1024,95.0,0.5,1762.9845,1.0
4100,5.0,0.0,0.1334,1024,95.0,0.75,1927.0723,1.0
4100,5.0,0.0,0.1334,1024,95.5,-1.0,2604.2263,1.0
4100,5.0,0.0,0.1334,1024,95.5,-0.75,2233.2229,1.0
4100,5.0,0.0,0.1334,1024,95.5,-0.5,1960.1895,1.0
4100,5.0,0.0,0.1334,1024,95.5,-0.25,1786.1115,1.0
4100,5.0,0.0,0.1334,1024,95.5,0.0,1708.4752,1.0
4100,5.0,0.0,0.1334,1024,95.5,0.25,1679.6373,1.0
4100,5.0,0.0,0.1334,1024,95.5,0.5,1748.6148,1.0
4100,5.0,0.0,0.1334,1024,95.5,0.75,1915.9249,1.0
4100,5.0,0.0,0.1334,1024,96.0,-1.0,2574.1291,1.0
4100,5.0,0.0,0.1334,1024,96.0,-0.75,2206.2588,1.0
4100,5.0,0.0,0.1334,1024,96.0,-0.5,1936.4202,1.0
4100,5.0,0.0,0.1334,1024,96.0,-0.25,1765.2457,1.0
4100,5.0,0.0,0.1334,1024,96.0,0.0,1690.5715,1.0
4100,5.0,0.0,0.1334,1024,96.0,0.25,1664.5043,1.0
4100,5.0,0.0,0.1334,1024,96.0,0.5,1736.6625,1.0
4100,5.0,0.0,0.1334,1024,96.0,0.75,1905.9095,1.0
4100,5.0,0.0,0.1334,1024,96.5,-1.0,2546.5068,1.0
4100,5.0,0.0,0.1334,1024,96.5,-0.75,2182.1892,1.0
4100,5.0,0.0,0.1334,1024,96.5,-0.5,1915.6595,1.0
4100,5.0,0.0,0.1334,1024,96.5,-0.25,1746.4403,1.0
