teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4000,5.0,0.0,0.1216,972,99.5,-0.25,12625.4672,1.0
4000,5.0,0.0,0.1216,972,99.5,0.0,12671.6615,1.0
4000,5.0,0.0,0.1216,972,99.5,0.25,12701.1838,1.0
4000,5.0,0.0,0.1216,972,99.5,0.5,12748.1855,1.0
4000,5.0,0.0,0.1216,972,99.5,0.75,12950.6814,1.0
4000,5.0,0.0,0.1216,972,100.0,-1.0,13071.5015,1.0
4000,5.0,0.0,0.1216,972,100.0,-0.75,12882.2411,1.0
4000,5.0,0.0,0.1216,972,100.0,-0.5,12750.68,1.0
4000,5.0,0.0,0.1216,972,100.0,-0.25,12650.8111,1.0
4000,5.0,0.0,0.1216,972,100.0,0.0,12672.9445,1.0
4000,5.0,0.0,0.1216,972,100.0,0.25,12709.6347,1.0
4000,5.0,0.0,0.1216,972,100.0,0.5,12807.4488,1.0
4000,5.0,0.0,0.1216,972,100.0,0.75,12989.2822,1.0
4000,5.0,0.0,0.1216,972,100.5,-1.0,13071.0875,1.0
4000,5.0,0.0,0.1216,972,100.5,-0.75,12919.8018,1.0
4000,5.0,0.0,0.1216,972,100.5,-0.5,12750.4514,1.0
4000,5.0,0.0,0.1216,972,100.5,-0.25,12645.8163,1.0
4000,5.0,0.0,0.1216,972,100.5,0.0,12697.2887,1.0
4000,5.0,0.0,0.1216,972,100.5,0.25,12751.0321,1.0
4000,5.0,0.0,0.1216,972,100.5,0.5,12853.889,1.0
4000,5.0,0.0,0.1216,972,100.5,0.75,12977.6765,1.0
4000,5.0,0.0,0.1216,972,101.0,-1.0,13139.1462,1.0
4000,5.0,0.0,0.1216,972,101.0,-0.75,12944.785,1.0
4000,5.0,0.0,0.1216,972,101.0,-0.5,12725.9703,1.0
4000,5.0,0.0,0.1216,972,101.0,-0.25,12665.3006,1.0
4000,5.0,0.0,0.1216,972,101.0,0.0,12701.6136,1.0
4000,5.0,0.0,0.1216,972,101.0,0.25,12716.6113,1.0
4000,5.0,0.0,0.1216,972,101.0,0.5,12841.7184,1.0
4000,5.0,0.0,0.1216,972,101.0,0.75,12939.9629,1.0
4000,5.0,0.0,0.1216,972,101.5,-1.0,13111.9053,1.0
4000,5.0,0.0,0.1216,972,101.5,-0.75,12914.0383,1.0
4000,5.0,0.0,0.1216,972,101.5,-0.5,12664.2659,1.0
4000,5.0,0.0,0.1216,972,101.5,-0.25,12620.118,1.0
4000,5.0,0.0,0.1216,972,101.5,0.0,12647.111,1.0
4000,5.0,0.0,0.1216,972,101.5,0.25,12668.8891,1.0
4000,5.0,0.0,0.1216,972,101.5,0.5,12824.0664,1.0
4000,5.0,0.0,0.1216,972,101.5,0.75,12920.9517,1.0
4000,5.0,0.0,0.1216,972,102.0,-1.0,13071.196,1.0
4000,5.0,0.0,0.1216,972,102.0,-0.75,12883.5925,1.0
4000,5.0,0.0,0.1216,972,102.0,-0.5,12642.4424,1.0
4000,5.0,0.0,0.1216,972,102.0,-0.25,12588.0394,1.0
4000,5.0,0.0,0.1216,972,102.0,0.0,12589.5888,1.0
4000,5.0,0.0,0.1216,972,102.0,0.25,12639.871,1.0
4000,5.0,0.0,0.1216,972,102.0,0.5,12763.1521,1.0
4000,5.0,0.0,0.1216,972,102.0,0.75,12882.3818,1.0
4000,5.0,0.0,0.1216,972,102.5,-1.0,13077.914,1.0
4000,5.0,0.0,0.1216,972,102.5,-0.75,12851.8426,1.0
4000,5.0,0.0,0.1216,972,102.5,-0.5,12648.5351,1.0
4000,5.0,0.0,0.1216,972,102.5,-0.25,12567.2963,1.0
4000,5.0,0.0,0.1216,972,102.5,0.0,12606.9991,1.0
4000,5.0,0.0,0.1216,972,102.5,0.25,12677.4038,1.0
4000,5.0,0.0,0.1216,972,102.5,0.5,12787.3128,1.0
4000,5.0,0.0,0.1216,972,102.5,0.75,12848.8821,1.0
4000,5.0,0.0,0.1216,972,103.0,-1.0,13111.2873,1.0
4000,5.0,0.0,0.1216,972,103.0,-0.75,12862.926,1.0
4000,5.0,0.0,0.1216,972,103.0,-0.5,12685.7849,1.0
4000,5.0,0.0,0.1216,972,103.0,-0.25,12595.6195,1.0
4000,5.0,0.0,0.1216,972,103.0,0.0,12622.8354,1.0
4000,5.0,0.0,0.1216,972,103.0,0.25,12694.021,1.0
4000,5.0,0.0,0.1216,972,103.0,0.5,12759.4245,1.0
4000,5.0,0.0,0.1216,972,103.0,0.75,12852.2897,1.0
4000,5.0,0.0,0.1216,972,103.5,-1.0,13141.8764,1.0
4000,5.0,0.0,0.1216,972,103.5,-0.75,12871.6548,1.0
4000,5.0,0.0,0.1216,972,103.5,-0.5,12688.2995,1.0
4000,5.0,0.0,0.1216,972,103.5,-0.25,12619.9807,1.0
4000,5.0,0.0,0.1216,972,103.5,0.0,12634.9131,1.0
4000,5.0,0.0,0.1216,972,103.5,0.25,12708.39,1.0
4000,5.0,0.0,0.1216,972,103.5,0.5,12763.0255,1.0
4000,5.0,0.0,0.1216,972,103.5,0.75,12888.7244,1.0
4000,5.0,0.0,0.1216,972,104.0,-1.0,13158.7429,1.0
4000,5.0,0.0,0.1216,972,104.0,-0.75,12899.9237,1.0
4000,5.0,0.0,0.1216,972,104.0,-0.5,12736.5299,1.0
4000,5.0,0.0,0.1216,972,104.0,-0.25,12680.3153,1.0
4000,5.0,0.0,0.1216,972,104.0,0.0,12689.8565,1.0
4000,5.0,0.0,0.1216,972,104.0,0.25,12743.9968,1.0
4000,5.0,0.0,0.1216,972,104.0,0.5,12777.9654,1.0
4000,5.0,0.0,0.1216,972,104.0,0.75,12907.555,1.0
4000,5.0,0.0,0.1216,972,104.5,-1.0,13205.551,1.0
4000,5.0,0.0,0.1216,972,104.5,-0.75,12921.0866,1.0
4000,5.0,0.0,0.1216,972,104.5,-0.5,12800.0589,1.0
4000,5.0,0.0,0.1216,972,104.5,-0.25,12746.5825,1.0
4000,5.0,0.0,0.1216,972,104.5,0.0,12730.0017,1.0
4000,5.0,0.0,0.1216,972,104.5,0.25,12779.764,1.0
4000,5.0,0.0,0.1216,972,104.5,0.5,12799.038,1.0
4000,5.0,0.0,0.1216,972,104.5,0.75,12991.0493,1.0
4100,5.0,0.0,0.1359,972,95.0,-1.0,13193.3149,1.0
4100,5.0,0.0,0.1359,972,95.0,-0.75,12926.3158,1.0
4100,5.0,0.0,0.1359,972,95.0,-0.5,12715.0358,1.0
4100,5.0,0.0,0.1359,972,95.0,-0.25,12608.7312,1.0
4100,5.0,0.0,0.1359,972,95.0,0.0,12596.4864,1.0
4100,5.0,0.0,0.1359,972,95.0,0.25,12593.7525,1.0
4100,5.0,0.0,0.1359,972,95.0,0.5,12617.2289,1.0
4100,5.0,0.0,0.1359,972,95.0,0.75,12776.0107,1.0
4100,5.0,0.0,0.1359,972,95.5,-1.0,13204.6533,1.0
4100,5.0,0.0,0.1359,972,95.5,-0.75,12914.2989,1.0
4100,5.0,0.0,0.1359,972,95.5,-0.5,12699.6513,1.0
4100,5.0,0.0,0.1359,972,95.5,-0.25,12640.5998,1.0
4100,5.0,0.0,0.1359,972,95.5,0.0,12582.7786,1.0
4100,5.0,0.0,0.1359,972,95.5,0.25,12611.6345,1.0
4100,5.0,0.0,0.1359,972,95.5,0.5,12631.3969,1.0
4100,5.0,0.0,0.1359,972,95.5,0.75,12785.2504,1.0
4100,5.0,0.0,0.1359,972,96.0,-1.0,13209.2794,1.0
4100,5.0,0.0,0.1359,972,96.0,-0.75,12898.7351,1.0
4100,5.0,0.0,0.1359,972,96.0,-0.5,12699.9022,1.0
4100,5.0,0.0,0.1359,972,96.0,-0.25,12595.5943,1.0
4100,5.0,0.0,0.1359,972,96.0,0.0,12576.1669,1.0
4100,5.0,0.0,0.1359,972,96.0,0.25,12619.3631,1.0
4100,5.0,0.0,0.1359,972,96.0,0.5,12662.2609,1.0
4100,5.0,0.0,0.1359,972,96.0,0.75,12752.2746,1.0
4100,5.0,0.0,0.1359,972,96.5,-1.0,13181.6686,1.0
4100,5.0,0.0,0.1359,972,96.5,-0.75,12871.2766,1.0
4100,5.0,0.0,0.1359,972,96.5,-0.5,12680.9048,1.0
4100,5.0,0.0,0.1359,972,96.5,-0.25,12574.8232,1.0
4100,5.0,0.0,0.1359,972,96.5,0.0,12556.3275,1.0
4100,5.0,0.0,0.1359,972,96.5,0.25,12614.4788,1.0
4100,5.0,0.0,0.1359,972,96.5,0.5,12651.9215,1.0
4100,5.0,0.0,0.1359,972,96.5,0.75,12758.7646,1.0
4100,5.0,0.0,0.1359,972,97.0,-1.0,13113.9739,1.0
4100,5.0,0.0,0.1359,972,97.0,-0.75,12850.0072,1.0
4100,5.0,0.0,0.1359,972,97.0,-0.5,12679.2532,1.0
4100,5.0,0.0,0.1359,972,97.0,-0.25,12574.8253,1.0
4100,5.0,0.0,0.1359,972,97.0,0.0,12547.0545,1.0
4100,5.0,0.0,0.1359,972,97.0,0.25,12618.0525,1.0
