teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4000,5.0,0.0,0.1189,1024,95.0,-1.0,9900.449,1.0
4000,5.0,0.0,0.1189,1024,95.0,-0.75,8853.5614,1.0
4000,5.0,0.0,0.1189,1024,95.0,-0.5,8107.1074,1.0
4000,5.0,0.0,0.1189,1024,95.0,-0.25,7654.1396,1.0
4000,5.0,0.0,0.1189,1024,95.0,0.0,7492.3803,1.0
4000,5.0,0.0,0.1189,1024,95.0,0.25,7478.9664,1.0
4000,5.0,0.0,0.1189,1024,95.0,0.5,7762.4532,1.0
4000,5.0,0.0,0.1189,1024,95.0,0.75,8351.2629,1.0
4000,5.0,0.0,0.1189,1024,95.5,-1.0,9873.1787,1.0
4000,5.0,0.0,0.1189,1024,95.5,-0.75,8830.5053,1.0
4000,5.0,0.0,0.1189,1024,95.5,-0.5,8080.0261,1.0
4000,5.0,0.0,0.1189,1024,95.5,-0.25,7619.3822,1.0
4000,5.0,0.0,0.1189,1024,95.5,0.0,7459.0855,1.0
4000,5.0,0.0,0.1189,1024,95.5,0.25,7446.4915,1.0
4000,5.0,0.0,0.1189,1024,95.5,0.5,7737.2044,1.0
4000,5.0,0.0,0.1189,1024,95.5,0.75,8322.5008,1.0
4000,5.0,0.0,0.1189,1024,96.0,-1.0,9853.9505,1.0
4000,5.0,0.0,0.1189,1024,96.0,-0.75,8804.4661,1.0
4000,5.0,0.0,0.1189,1024,96.0,-0.5,8055.8478,1.0
4000,5.0,0.0,0.1189,1024,96.0,-0.25,7595.0163,1.0
4000,5.0,0.0,0.1189,1024,96.0,0.0,7421.745,1.0
4000,5.0,0.0,0.1189,1024,96.0,0.25,7412.8809,1.0
4000,5.0,0.0,0.1189,1024,96.0,0.5,7707.9532,1.0
4000,5.0,0.0,0.1189,1024,96.0,0.75,8289.1741,1.0
4000,5.0,0.0,0.1189,1024,96.5,-1.0,9831.4831,1.0
4000,5.0,0.0,0.1189,1024,96.5,-0.75,8780.6896,1.0
4000,5.0,0.0,0.1189,1024,96.5,-0.5,8021.6645,1.0
4000,5.0,0.0,0.1189,1024,96.5,-0.25,7558.0961,1.0
4000,5.0,0.0,0.1189,1024,96.5,0.0,7389.0891,1.0
4000,5.0,0.0,0.1189,1024,96.5,0.25,7380.7919,1.0
4000,5.0,0.0,0.1189,1024,96.5,0.5,7676.3878,1.0
4000,5.0,0.0,0.1189,1024,96.5,0.75,8252.5249,1.0
4000,5.0,0.0,0.1189,1024,97.0,-1.0,9803.622,1.0
4000,5.0,0.0,0.1189,1024,97.0,-0.75,8756.207,1.0
4000,5.0,0.0,0.1189,1024,97.0,-0.5,7995.474,1.0
4000,5.0,0.0,0.1189,1024,97.0,-0.25,7523.491,1.0
4000,5.0,0.0,0.1189,1024,97.0,0.0,7361.7705,1.0
4000,5.0,0.0,0.1189,1024,97.0,0.25,7355.1144,1.0
4000,5.0,0.0,0.1189,1024,97.0,0.5,7645.6572,1.0
4000,5.0,0.0,0.1189,1024,97.0,0.75,8231.6054,1.0
4000,5.0,0.0,0.1189,1024,97.5,-1.0,9781.8955,1.0
4000,5.0,0.0,0.1189,1024,97.5,-0.75,8725.6398,1.0
4000,5.0,0.0,0.1189,1024,97.5,-0.5,7964.851,1.0
4000,5.0,0.0,0.1189,1024,97.5,-0.25,7497.9854,1.0
4000,5.0,0.0,0.1189,1024,97.5,0.0,7340.0315,1.0
4000,5.0,0.0,0.1189,1024,97.5,0.25,7334.4255,1.0
4000,5.0,0.0,0.1189,1024,97.5,0.5,7628.7156,1.0
4000,5.0,0.0,0.1189,1024,97.5,0.75,8212.594,1.0
4000,5.0,0.0,0.1189,1024,98.0,-1.0,9756.8342,1.0
4000,5.0,0.0,0.1189,1024,98.0,-0.75,8701.7383,1.0
4000,5.0,0.0,0.1189,1024,98.0,-0.5,7944.5347,1.0
4000,5.0,0.0,0.1189,1024,98.0,-0.25,7485.2812,1.0
4000,5.0,0.0,0.1189,1024,98.0,0.0,7328.5853,1.0
4000,5.0,0.0,0.1189,1024,98.0,0.25,7321.7781,1.0
4000,5.0,0.0,0.1189,1024,98.0,0.5,7614.1172,1.0
4000,5.0,0.0,0.1189,1024,98.0,0.75,8198.8443,1.0
4000,5.0,0.0,0.1189,1024,98.5,-1.0,9737.387,1.0
4000,5.0,0.0,0.1189,1024,98.5,-0.75,8687.781,1.0
4000,5.0,0.0,0.1189,1024,98.5,-0.5,7931.5064,1.0
4000,5.0,0.0,0.1189,1024,98.5,-0.25,7472.7611,1.0
4000,5.0,0.0,0.1189,1024,98.5,0.0,7318.298,1.0
4000,5.0,0.0,0.1189,1024,98.5,0.25,7313.2719,1.0
4000,5.0,0.0,0.1189,1024,98.5,0.5,7608.0833,1.0
4000,5.0,0.0,0.1189,1024,98.5,0.75,8199.4754,1.0
4000,5.0,0.0,0.1189,1024,99.0,-1.0,9725.7431,1.0
4000,5.0,0.0,0.1189,1024,99.0,-0.75,8671.5175,1.0
4000,5.0,0.0,0.1189,1024,99.0,-0.5,7918.6085,1.0
4000,5.0,0.0,0.1189,1024,99.0,-0.25,7466.8472,1.0
4000,5.0,0.0,0.1189,1024,99.0,0.0,7319.0063,1.0
4000,5.0,0.0,0.1189,1024,99.0,0.25,7317.4787,1.0
4000,5.0,0.0,0.1189,1024,99.0,0.5,7617.6646,1.0
4000,5.0,0.0,0.1189,1024,99.0,0.75,8209.2547,1.0
4000,5.0,0.0,0.1189,1024,99.5,-1.0,9712.8046,1.0
4000,5.0,0.0,0.1189,1024,99.5,-0.75,8664.3056,1.0
4000,5.0,0.0,0.1189,1024,99.5,-0.5,7919.6235,1.0
4000,5.0,0.0,0.1189,1024,99.5,-0.25,7470.5067,1.0
4000,5.0,0.0,0.1189,1024,99.5,0.0,7324.344,1.0
4000,5.0,0.0,0.1189,1024,99.5,0.25,7329.2212,1.0
4000,5.0,0.0,0.1189,1024,99.5,0.5,7632.7416,1.0
4000,5.0,0.0,0.1189,1024,99.5,0.75,8228.1094,1.0
4000,5.0,0.0,0.1189,1024,100.0,-1.0,9707.0184,1.0
4000,5.0,0.0,0.1189,1024,100.0,-0.75,8668.7709,1.0
4000,5.0,0.0,0.1189,1024,100.0,-0.5,7929.8385,1.0
4000,5.0,0.0,0.1189,1024,100.0,-0.25,7479.7436,1.0
4000,5.0,0.0,0.1189,1024,100.0,0.0,7338.6293,1.0
4000,5.0,0.0,0.1189,1024,100.0,0.25,7346.7675,1.0
4000,5.0,0.0,0.1189,1024,100.0,0.5,7654.5561,1.0
4000,5.0,0.0,0.1189,1024,100.0,0.75,8260.7878,1.0
4000,5.0,0.0,0.1189,1024,100.5,-1.0,9714.141,1.0
4000,5.0,0.0,0.1189,1024,100.5,-0.75,8684.1522,1.0
4000,5.0,0.0,0.1189,1024,100.5,-0.5,7946.723,1.0
4000,5.0,0.0,0.1189,1024,100.5,-0.25,7497.1879,1.0
4000,5.0,0.0,0.1189,1024,100.5,0.0,7358.1566,1.0
