teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4000,5.0,0.0,0.1182,1024,95.0,-1.0,8288.6367,1.0
4000,5.0,0.0,0.1182,1024,95.0,-0.75,7153.6226,1.0
4000,5.0,0.0,0.1182,1024,95.0,-0.5,6351.3304,1.0
4000,5.0,0.0,0.1182,1024,95.0,-0.25,5935.5088,1.0
4000,5.0,0.0,0.1182,1024,95.0,0.0,5824.3711,1.0
4000,5.0,0.0,0.1182,1024,95.0,0.25,5849.2948,1.0
4000,5.0,0.0,0.1182,1024,95.0,0.5,6209.1734,1.0
4000,5.0,0.0,0.1182,1024,95.0,0.75,6935.0276,1.0
4000,5.0,0.0,0.1182,1024,95.5,-1.0,8191.6121,1.0
4000,5.0,0.0,0.1182,1024,95.5,-0.75,7060.3883,1.0
4000,5.0,0.0,0.1182,1024,95.5,-0.5,6269.693,1.0
4000,5.0,0.0,0.1182,1024,95.5,-0.25,5842.6337,1.0
4000,5.0,0.0,0.1182,1024,95.5,0.0,5722.5705,1.0
4000,5.0,0.0,0.1182,1024,95.5,0.25,5747.091,1.0
4000,5.0,0.0,0.1182,1024,95.5,0.5,6130.1912,1.0
4000,5.0,0.0,0.1182,1024,95.5,0.75,6849.7092,1.0
4000,5.0,0.0,0.1182,1024,96.0,-1.0,8108.3478,1.0
4000,5.0,0.0,0.1182,1024,96.0,-0.75,6967.0658,1.0
4000,5.0,0.0,0.1182,1024,96.0,-0.5,6180.1316,1.0
4000,5.0,0.0,0.1182,1024,96.0,-0.25,5766.8067,1.0
4000,5.0,0.0,0.1182,1024,96.0,0.0,5649.3408,1.0
4000,5.0,0.0,0.1182,1024,96.0,0.25,5669.8238,1.0
4000,5.0,0.0,0.1182,1024,96.0,0.5,6053.3033,1.0
4000,5.0,0.0,0.1182,1024,96.0,0.75,6766.6112,1.0
4000,5.0,0.0,0.1182,1024,96.5,-1.0,8007.3162,1.0
4000,5.0,0.0,0.1182,1024,96.5,-0.75,6867.9969,1.0
4000,5.0,0.0,0.1182,1024,96.5,-0.5,6094.361,1.0
4000,5.0,0.0,0.1182,1024,96.5,-0.25,5692.6456,1.0
4000,5.0,0.0,0.1182,1024,96.5,0.0,5571.9056,1.0
4000,5.0,0.0,0.1182,1024,96.5,0.25,5594.3856,1.0
4000,5.0,0.0,0.1182,1024,96.5,0.5,5977.8423,1.0
4000,5.0,0.0,0.1182,1024,96.5,0.75,6671.2381,1.0
4000,5.0,0.0,0.1182,1024,97.0,-1.0,7907.738,1.0
4000,5.0,0.0,0.1182,1024,97.0,-0.75,6761.5163,1.0
4000,5.0,0.0,0.1182,1024,97.0,-0.5,6010.6954,1.0
4000,5.0,0.0,0.1182,1024,97.0,-0.25,5620.5836,1.0
4000,5.0,0.0,0.1182,1024,97.0,0.0,5484.4896,1.0
4000,5.0,0.0,0.1182,1024,97.0,0.25,5512.4701,1.0
4000,5.0,0.0,0.1182,1024,97.0,0.5,5890.9699,1.0
4000,5.0,0.0,0.1182,1024,97.0,0.75,6580.2294,1.0
4000,5.0,0.0,0.1182,1024,97.5,-1.0,7809.2432,1.0
4000,5.0,0.0,0.1182,1024,97.5,-0.75,6664.5555,1.0
4000,5.0,0.0,0.1182,1024,97.5,-0.5,5935.6959,1.0
4000,5.0,0.0,0.1182,1024,97.5,-0.25,5529.4444,1.0
4000,5.0,0.0,0.1182,1024,97.5,0.0,5385.9726,1.0
4000,5.0,0.0,0.1182,1024,97.5,0.25,5431.898,1.0
4000,5.0,0.0,0.1182,1024,97.5,0.5,5805.2998,1.0
4000,5.0,0.0,0.1182,1024,97.5,0.75,6501.0383,1.0
4000,5.0,0.0,0.1182,1024,98.0,-1.0,7728.5859,1.0
4000,5.0,0.0,0.1182,1024,98.0,-0.75,6584.5903,1.0
4000,5.0,0.0,0.1182,1024,98.0,-0.5,5852.3948,1.0
4000,5.0,0.0,0.1182,1024,98.0,-0.25,5439.0688,1.0
4000,5.0,0.0,0.1182,1024,98.0,0.0,5296.0847,1.0
4000,5.0,0.0,0.1182,1024,98.0,0.25,5359.7249,1.0
4000,5.0,0.0,0.1182,1024,98.0,0.5,5735.8572,1.0
4000,5.0,0.0,0.1182,1024,98.0,0.75,6430.0757,1.0
4000,5.0,0.0,0.1182,1024,98.5,-1.0,7659.4066,1.0
4000,5.0,0.0,0.1182,1024,98.5,-0.75,6519.4785,1.0
4000,5.0,0.0,0.1182,1024,98.5,-0.5,5774.9834,1.0
4000,5.0,0.0,0.1182,1024,98.5,-0.25,5364.3922,1.0
4000,5.0,0.0,0.1182,1024,98.5,0.0,5227.7179,1.0
4000,5.0,0.0,0.1182,1024,98.5,0.25,5296.7829,1.0
4000,5.0,0.0,0.1182,1024,98.5,0.5,5672.9538,1.0
4000,5.0,0.0,0.1182,1024,98.5,0.75,6384.1833,1.0
4000,5.0,0.0,0.1182,1024,99.0,-1.0,7602.934,1.0
4000,5.0,0.0,0.1182,1024,99.0,-0.75,6460.8941,1.0
4000,5.0,0.0,0.1182,1024,99.0,-0.5,5702.7161,1.0
4000,5.0,0.0,0.1182,1024,99.0,-0.25,5303.552,1.0
4000,5.0,0.0,0.1182,1024,99.0,0.0,5182.2655,1.0
4000,5.0,0.0,0.1182,1024,99.0,0.25,5246.514,1.0
4000,5.0,0.0,0.1182,1024,99.0,0.5,5637.4144,1.0
4000,5.0,0.0,0.1182,1024,99.0,0.75,6353.8765,1.0
4000,5.0,0.0,0.1182,1024,99.5,-1.0,7558.674,1.0
4000,5.0,0.0,0.1182,1024,99.5,-0.75,6416.212,1.0
4000,5.0,0.0,0.1182,1024,99.5,-0.5,5655.3508,1.0
4000,5.0,0.0,0.1182,1024,99.5,-0.25,5265.7539,1.0
4000,5.0,0.0,0.1182,1024,99.5,0.0,5138.4919,1.0
4000,5.0,0.0,0.1182,1024,99.5,0.25,5206.5017,1.0
4000,5.0,0.0,0.1182,1024,99.5,0.5,5613.7927,1.0
4000,5.0,0.0,0.1182,1024,99.5,0.75,6331.4764,1.0
4000,5.0,0.0,0.1182,1024,100.0,-1.0,7516.6543,1.0
4000,5.0,0.0,0.1182,1024,100.0,-0.75,6385.0576,1.0
4000,5.0,0.0,0.1182,1024,100.0,-0.5,5631.4262,1.0
4000,5.0,0.0,0.1182,1024,100.0,-0.25,5243.547,1.0
4000,5.0,0.0,0.1182,1024,100.0,0.0,5101.1514,1.0
4000,5.0,0.0,0.1182,1024,100.0,0.25,5182.1889,1.0
4000,5.0,0.0,0.1182,1024,100.0,0.5,5591.0066,1.0
4000,5.0,0.0,0.1182,1024,100.0,0.75,6311.9536,1.0
4000,5.0,0.0,0.1182,1024,100.5,-1.0,7492.5376,1.0
4000,5.0,0.0,0.1182,1024,100.5,-0.75,6370.2124,1.0
4000,5.0,0.0,0.1182,1024,100.5,-0.5,5618.0967,1.0
4000,5.0,0.0,0.1182,1024,100.5,-0.25,5229.8961,1.0
4000,5.0,0.0,0.1182,1024,100.5,0.0,5096.9417,1.0
4000,5.0,0.0,0.1182,1024,100.5,0.25,5173.2778,1.0
4000,5.0,0.0,0.1182,1024,100.5,0.5,5584.539,1.0
4000,5.0,0.0,0.1182,1024,100.5,0.75,6309.9088,1.0
4000,5.0,0.0,0.1182,1024,101.0,-1.0,7486.2175,1.0
4000,5.0,0.0,0.1182,1024,101.0,-0.75,6381.7876,1.0
4000,5.0,0.0,0.1182,1024,101.0,-0.5,5613.3273,1.0
4000,5.0,0.0,0.1182,1024,101.0,-0.25,5235.587,1.0
4000,5.0,0.0,0.1182,1024,101.0,0.0,5108.0672,1.0
4000,5.0,0.0,0.1182,1024,101.0,0.25,5181.6142,1.0
4000,5.0,0.0,0.1182,1024,101.0,0.5,5596.3173,1.0
4000,5.0,0.0,0.1182,1024,101.0,0.75,6337.4059,1.0
4000,5.0,0.0,0.1182,1024,101.5,-1.0,7504.8238,1.0
4000,5.0,0.0,0.1182,1024,101.5,-0.75,6403.4142,1.0
4000,5.0,0.0,0.1182,1024,101.5,-0.5,5643.862,1.0
4000,5.0,0.0,0.1182,1024,101.5,-0.25,5270.2174,1.0
4000,5.0,0.0,0.1182,1024,101.5,0.0,5125.0769,1.0
4000,5.0,0.0,0.1182,1024,101.5,0.25,5206.769,1.0
4000,5.0,0.0,0.1182,1024,101.5,0.5,5626.9282,1.0
4000,5.0,0.0,0.1182,1024,101.5,0.75,6380.3858,1.0
4000,5.0,0.0,0.1182,1024,102.0,-1.0,7554.387,1.0
4000,5.0,0.0,0.1182,1024,102.0,-0.75,6448.5556,1.0
4000,5.0,0.0,0.1182,1024,102.0,-0.5,5693.1885,1.0
4000,5.0,0.0,0.1182,1024,102.0,-0.25,5303.7583,1.0
4000,5.0,0.0,0.1182,1024,102.0,0.0,5165.9612,1.0
4000,5.0,0.0,0.1182,1024,102.0,0.25,5254.8749,1.0
4000,5.0,0.0,0.1182,1024,102.0,0.5,5691.4925,1.0
4000,5.0,0.0,0.1182,1024,102.0,0.75,6446.8019,1.0
4000,5.0,0.0,0.1182,1024,102.5,-1.0,7610.0003,1.0
4000,5.0,0.0,0.1182,1024,102.5,-0.75,6501.6365,1.0
4000,5.0,0.0,0.1182,1024,102.5,-0.5,5734.3466,1.0
4000,5.0,0.0,0.1182,1024,102.5,-0.25,5344.7221,1.0
4000,5.0,0.0,0.1182,1024,102.5,0.0,5216.7638,1.0
4000,5.0,0.0,0.1182,1024,102.5,0.25,5322.4411,1.0
4000,5.0,0.0,0.1182,1024,102.5,0.5,5767.3152,1.0
4000,5.0,0.0,0.1182,1024,102.5,0.75,6507.5588,1.0
4000,5.0,0.0,0.1182,1024,103.0,-1.0,7689.7797,1.0
4000,5.0,0.0,0.1182,1024,103.0,-0.75,6558.1688,1.0
4000,5.0,0.0,0.1182,1024,103.0,-0.5,5800.7193,1.0
4000,5.0,0.0,0.1182,1024,103.0,-0.25,5403.573,1.0
4000,5.0,0.0,0.1182,1024,103.0,0.0,5293.3204,1.0
4000,5.0,0.0,0.1182,1024,103.0,0.25,5414.4948,1.0
4000,5.0,0.0,0.1182,1024,103.0,0.5,5856.3006,1.0
4000,5.0,0.0,0.1182,1024,103.0,0.75,6579.1781,1.0
4000,5.0,0.0,0.1182,1024,103.5,-1.0,7750.9172,1.0
4000,5.0,0.0,0.1182,1024,103.5,-0.75,6630.3526,1.0
4000,5.0,0.0,0.1182,1024,103.5,-0.5,5872.4972,1.0
4000,5.0,0.0,0.1182,1024,103.5,-0.25,5480.1625,1.0
4000,5.0,0.0,0.1182,1024,103.5,0.0,5392.7864,1.0
4000,5.0,0.0,0.1182,1024,103.5,0.25,5520.2599,1.0
4000,5.0,0.0,0.1182,1024,103.5,0.5,5936.1255,1.0
4000,5.0,0.0,0.1182,1024,103.5,0.75,6665.0495,1.0
4000,5.0,0.0,0.1182,1024,104.0,-1.0,7828.8499,1.0
4000,5.0,0.0,0.1182,1024,104.0,-0.75,6720.7359,1.0
4000,5.0,0.0,0.1182,1024,104.0,-0.5,5966.2911,1.0
4000,5.0,0.0,0.1182,1024,104.0,-0.25,5595.2206,1.0
4000,5.0,0.0,0.1182,1024,104.0,0.0,5523.7901,1.0
4000,5.0,0.0,0.1182,1024,104.0,0.25,5627.8972,1.0
4000,5.0,0.0,0.1182,1024,104.0,0.5,6022.9373,1.0
4000,5.0,0.0,0.1182,1024,104.0,0.75,6764.9775,1.0
4000,5.0,0.0,0.1182,1024,104.5,-1.0,7934.0058,1.0
4000,5.0,0.0,0.1182,1024,104.5,-0.75,6839.7103,1.0
4000,5.0,0.0,0.1182,1024,104.5,-0.5,6091.2898,1.0
4000,5.0,0.0,0.1182,1024,104.5,-0.25,5701.4618,1.0
4000,5.0,0.0,0.1182,1024,104.5,0.0,5646.8505,1.0
4000,5.0,0.0,0.1182,1024,104.5,0.25,5747.3212,1.0
4000,5.0,0.0,0.1182,1024,104.5,0.5,6142.1431,1.0
4000,5.0,0.0,0.1182,1024,104.5,0.75,6902.1924,1.0
4100,5.0,0.0,0.1324,1024,95.0,-1.0,7732.8786,1.0
4100,5.0,0.0,0.1324,1024,95.0,-0.75,6579.5082,1.0
4100,5.0,0.0,0.1324,1024,95.0,-0.5,5793.6104,1.0
4100,5.0,0.0,0.1324,1024,95.0,-0.25,5387.0298,1.0
4100,5.0,0.0,0.1324,1024,95.0,0.0,5267.9147,1.0
4100,5.0,0.0,0.1324,1024,95.0,0.25,5293.7513,1.0
4100,5.0,0.0,0.1324,1024,95.0,0.5,5651.718,1.0
4100,5.0,0.0,0.1324,1024,95.0,0.75,6319.7108,1.0
4100,5.0,0.0,0.1324,1024,95.5,-1.0,7601.3943,1.0
4100,5.0,0.0,0.1324,1024,95.5,-0.75,6464.138,1.0
4100,5.0,0.0,0.1324,1024,95.5,-0.5,5676.2666,1.0
4100,5.0,0.0,0.1324,1024,95.5,-0.25,5271.5754,1.0
4100,5.0,0.0,0.1324,1024,95.5,0.0,5160.2282,1.0
4100,5.0,0.0,0.1324,1024,95.5,0.25,5179.3795,1.0
4100,5.0,0.0,0.1324,1024,95.5,0.5,5529.6396,1.0
4100,5.0,0.0,0.1324,1024,95.5,0.75,6217.2669,1.0
4100,5.0,0.0,0.1324,1024,96.0,-1.0,7478.9468,1.0
4100,5.0,0.0,0.1324,1024,96.0,-0.75,6347.92,1.0
4100,5.0,0.0,0.1324,1024,96.0,-0.5,5563.7826,1.0
4100,5.0,0.0,0.1324,1024,96.0,-0.25,5173.1041,1.0
4100,5.0,0.0,0.1324,1024,96.0,0.0,5051.0421,1.0
4100,5.0,0.0,0.1324,1024,96.0,0.25,5072.726,1.0
4100,5.0,0.0,0.1324,1024,96.0,0.5,5415.1816,1.0
4100,5.0,0.0,0.1324,1024,96.0,0.75,6101.3417,1.0
4100,5.0,0.0,0.1324,1024,96.5,-1.0,7354.0776,1.0
4100,5.0,0.0,0.1324,1024,96.5,-0.75,6225.0806,1.0
4100,5.0,0.0,0.1324,1024,96.5,-0.5,5460.7021,1.0
4100,5.0,0.0,0.1324,1024,96.5,-0.25,5069.9515,1.0
4100,5.0,0.0,0.1324,1024,96.5,0.0,4940.557,1.0
4100,5.0,0.0,0.1324,1024,96.5,0.25,4977.4448,1.0
4100,5.0,0.0,0.1324,1024,96.5,0.5,5307.813,1.0
4100,5.0,0.0,0.1324,1024,96.5,0.75,5994.9012,1.0
4100,5.0,0.0,0.1324,1024,97.0,-1.0,7225.4954,1.0
4100,5.0,0.0,0.1324,1024,97.0,-0.75,6110.6079,1.0
4100,5.0,0.0,0.1324,1024,97.0,-0.5,5370.7804,1.0
4100,5.0,0.0,0.1324,1024,97.0,-0.25,4967.115,1.0
4100,5.0,0.0,0.1324,1024,97.0,0.0,4826.1219,1.0
4100,5.0,0.0,0.1324,1024,97.0,0.25,4869.4856,1.0
4100,5.0,0.0,0.1324,1024,97.0,0.5,5201.5793,1.0
4100,5.0,0.0,0.1324,1024,97.0,0.75,5891.449,1.0
4100,5.0,0.0,0.1324,1024,97.5,-1.0,7129.4616,1.0
4100,5.0,0.0,0.1324,1024,97.5,-0.75,6015.4899,1.0
4100,5.0,0.0,0.1324,1024,97.5,-0.5,5274.0769,1.0
4100,5.0,0.0,0.1324,1024,97.5,-0.25,4857.85,1.0
4100,5.0,0.0,0.1324,1024,97.5,0.0,4721.1954,1.0
4100,5.0,0.0,0.1324,1024,97.5,0.25,4785.581,1.0
4100,5.0,0.0,0.1324,1024,97.5,0.5,5116.8796,1.0
4100,5.0,0.0,0.1324,1024,97.5,0.75,5806.8123,1.0
4100,5.0,0.0,0.1324,1024,98.0,-1.0,7046.5548,1.0
4100,5.0,0.0,0.1324,1024,98.0,-0.75,5932.7055,1.0
4100,5.0,0.0,0.1324,1024,98.0,-0.5,5165.9991,1.0
4100,5.0,0.0,0.1324,1024,98.0,-0.25,4758.337,1.0
4100,5.0,0.0,0.1324,1024,98.0,0.0,4637.1951,1.0
4100,5.0,0.0,0.1324,1024,98.0,0.25,4703.8085,1.0
4100,5.0,0.0,0.1324,1024,98.0,0.5,5049.9989,1.0
4100,5.0,0.0,0.1324,1024,98.0,0.75,5732.2911,1.0
4100,5.0,0.0,0.1324,1024,98.5,-1.0,6968.8741,1.0
4100,5.0,0.0,0.1324,1024,98.5,-0.75,5836.7374,1.0
4100,5.0,0.0,0.1324,1024,98.5,-0.5,5082.0198,1.0
4100,5.0,0.0,0.1324,1024,98.5,-0.25,4681.0527,1.0
4100,5.0,0.0,0.1324,1024,98.5,0.0,4563.0756,1.0
4100,5.0,0.0,0.1324,1024,98.5,0.25,4629.6226,1.0
4100,5.0,0.0,0.1324,1024,98.5,0.5,4987.4242,1.0
4100,5.0,0.0,0.1324,1024,98.5,0.75,5668.2356,1.0
4100,5.0,0.0,0.1324,1024,99.0,-1.0,6898.4625,1.0
4100,5.0,0.0,0.1324,1024,99.0,-0.75,5763.5882,1.0
4100,5.0,0.0,0.1324,1024,99.0,-0.5,5002.5986,1.0
4100,5.0,0.0,0.1324,1024,99.0,-0.25,4618.3082,1.0
4100,5.0,0.0,0.1324,1024,99.0,0.0,4503.7938,1.0
4100,5.0,0.0,0.1324,1024,99.0,0.25,4568.7683,1.0
