# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
57.4238 	 -1.5322 	 0.9032 	 2112.5457 	 0.1185 	 2.5322 
123.1057 	 -0.7109 	 0.9584 	 2113.3075 	 0.0544 	 1.7109 
188.3349 	 -0.6011 	 0.9626 	 2114.0565 	 0.0511 	 1.6011 
253.1816 	 -0.8367 	 0.9603 	 2114.811 	 0.0459 	 1.8367 
283.5088 	 1.0028 	 0.9832 	 2115.159 	 0.0246 	 -0.0028 
320.055 	 -0.7265 	 0.9569 	 2115.573 	 0.0394 	 1.7265 
333.6762 	 -1.0323 	 0.9803 	 2115.7312 	 0.0286 	 2.0323 
369.1108 	 -0.4776 	 0.9787 	 2116.1364 	 0.0284 	 1.4776 
375.8449 	 -1.8097 	 0.9425 	 2116.218 	 0.0629 	 2.8097 
385.7518 	 -0.6583 	 0.9783 	 2116.3371 	 0.0358 	 1.6583 
404.5559 	 2.0946 	 0.986 	 2116.5481 	 0.0274 	 -1.0946 
554.2227 	 2.0334 	 0.9847 	 2118.2652 	 0.0346 	 -1.0334 
581.1902 	 -2.8475 	 0.6315 	 2118.5727 	 0.403 	 3.8475 
592.2286 	 3.4954 	 0.9414 	 2118.6944 	 0.0746 	 -2.4954 
632.6527 	 -0.4083 	 0.9758 	 2119.1584 	 0.0347 	 1.4083 
672.4882 	 -0.567 	 0.9745 	 2119.617 	 0.0369 	 1.567 
687.0757 	 -2.452 	 0.9049 	 2119.777 	 0.0913 	 3.452 
713.9599 	 -1.8835 	 0.9223 	 2120.0846 	 0.0803 	 2.8835 
739.6964 	 -1.537 	 0.933 	 2120.3833 	 0.0705 	 2.537 
754.8068 	 2.2347 	 0.9767 	 2120.5463 	 0.0333 	 -1.2347 
796.4263 	 -1.8803 	 0.9746 	 2121.0276 	 0.0335 	 2.8803 
882.6807 	 -1.2575 	 0.9576 	 2121.9934 	 0.033 	 2.2575 
925.6524 	 -0.2675 	 0.9792 	 2122.4879 	 0.0309 	 1.2675 
1014.835 	 -0.1943 	 0.9861 	 2123.499 	 0.028 	 1.1943 
