# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
72.0562 	 -0.1377 	 0.9883 	 2141.9469 	 0.0069 	 1.1377 
106.2298 	 -0.0921 	 0.9928 	 2142.296 	 0.0082 	 1.0921 
162.3369 	 -0.4302 	 0.9869 	 2142.9063 	 0.0146 	 1.4302 
166.9381 	 -0.7394 	 0.9911 	 2142.9678 	 0.0122 	 1.7394 
200.6773 	 -5.9747 	 0.9668 	 2143.2938 	 0.0126 	 6.9747 
221.9593 	 -2.2037 	 0.9732 	 2143.5687 	 0.011 	 3.2037 
323.6652 	 -2.3854 	 0.9841 	 2144.6177 	 0.0161 	 3.3854 
568.868 	 1.9806 	 0.9892 	 2147.2319 	 0.0204 	 -0.9806 
577.2314 	 -0.1459 	 0.9881 	 2147.3235 	 0.0252 	 1.1459 
646.3473 	 -0.2155 	 0.9927 	 2148.0443 	 0.0133 	 1.2155 
653.3816 	 -1.4105 	 0.9651 	 2148.129 	 0.0434 	 2.4105 
700.6413 	 1.9801 	 0.9935 	 2148.6279 	 0.0102 	 -0.9801 
729.0792 	 -0.5214 	 0.957 	 2148.9242 	 0.0561 	 1.5214 
739.8592 	 1.9112 	 0.9898 	 2149.0416 	 0.0125 	 -0.9112 
781.4478 	 -0.5256 	 0.9911 	 2149.4844 	 0.0153 	 1.5256 
789.3922 	 -1.8024 	 0.9917 	 2149.5569 	 0.0154 	 2.8024 
824.1057 	 -2.2707 	 0.9343 	 2149.9133 	 0.0797 	 3.2707 
849.4327 	 2.2169 	 0.9905 	 2150.1837 	 0.0156 	 -1.2169 
919.9096 	 -0.5702 	 0.981 	 2150.9289 	 0.0198 	 1.5702 
962.1583 	 -2.6486 	 0.7903 	 2151.3672 	 0.1621 	 3.6486 
999.1671 	 -2.5332 	 0.888 	 2151.7592 	 0.1309 	 3.5332 
