# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
63.5174 	 -0.457 	 0.9472 	 2155.5105 	 0.0311 	 1.457 
84.3731 	 -1.3565 	 0.9285 	 2155.7131 	 0.0453 	 2.3565 
317.467 	 -0.9795 	 0.9437 	 2158.1211 	 0.0476 	 1.9795 
415.2362 	 -2.2397 	 0.8427 	 2159.105 	 0.1828 	 3.2397 
448.6401 	 -0.6116 	 0.9878 	 2159.4706 	 0.0149 	 1.6116 
502.6742 	 -1.8852 	 0.9384 	 2159.9902 	 0.0897 	 2.8852 
589.5226 	 -2.6009 	 0.9446 	 2160.871 	 0.0878 	 3.6009 
595.9601 	 -0.3587 	 0.9494 	 2160.9337 	 0.096 	 1.3587 
609.656 	 -1.8095 	 0.9576 	 2161.0647 	 0.0678 	 2.8095 
625.5911 	 -4.2016 	 0.9345 	 2161.2387 	 0.0569 	 5.2016 
634.8104 	 -1.0134 	 0.9456 	 2161.3146 	 0.0559 	 2.0134 
640.4524 	 -1.3871 	 0.9172 	 2161.3939 	 0.0883 	 2.3871 
844.8319 	 -2.9202 	 0.6263 	 2163.443 	 0.4885 	 3.9202 
860.5258 	 -2.8134 	 0.845 	 2163.5925 	 0.2495 	 3.8134 
