# Injection - recovery results# Noise level = beta-sigma observed
input	 output	 rv1	 rv2
2300	3700.0	6.5	12.0
2400	3800.0	6.5	10.0
2500	3800.0	6.5	10.0
2600	3800.0	6.5	10.0
2700	3800.0	6.5	10.0
2800	3800.0	6.5	10.0
2900	3800.0	6.5	10.0
3000	3800.0	6.5	10.0
3100	3800.0	6.5	10.0
3200	3800.0	6.5	10.0
3300	3800.0	6.25	12.0
3400	3800.0	6.75	12.0
3500	3900.0	6.75	12.0
3600	3900.0	6.75	12.0
3700	3900.0	6.75	12.0
3800	4000.0	6.5	12.0
3900	4000.0	6.5	12.0
4000	4000.0	6.5	12.0
4100	4100.0	6.75	12.0
4200	4200.0	6.75	12.0
4300	4600.0	6.5	10.0
4400	4700.0	6.25	10.0
4500	4800.0	6.25	10.0
4600	4800.0	6.25	10.0
4700	4800.0	6.5	10.0
4800	5000.0	6.75	10.0
4900	5500.0	6.25	10.0
5000	5600.0	6.5	10.0
5100	5700.0	6.5	10.0
5200	5800.0	6.5	10.0
5300	5900.0	6.5	10.0
5400	6000.0	6.5	10.0
5500	6000.0	6.5	10.0
