# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
65.0918 	 -0.5102 	 0.9491 	 2155.5108 	 0.0304 	 1.5102 
85.2911 	 -1.6144 	 0.9151 	 2155.7083 	 0.0635 	 2.6144 
319.4469 	 -1.1161 	 0.9122 	 2158.121 	 0.0824 	 2.1161 
416.9543 	 -2.3403 	 0.7466 	 2159.1057 	 0.274 	 3.3403 
503.9978 	 -1.6031 	 0.8784 	 2159.9889 	 0.1337 	 2.6031 
591.1657 	 -1.5819 	 0.9234 	 2160.8698 	 0.0838 	 2.5819 
597.4477 	 -0.8325 	 0.9307 	 2160.9331 	 0.0941 	 1.8325 
611.2438 	 -2.9407 	 0.9473 	 2161.0645 	 0.0763 	 3.9407 
626.8969 	 -0.9326 	 0.9559 	 2161.2386 	 0.0558 	 1.9326 
635.6049 	 -0.8519 	 0.954 	 2161.3146 	 0.0545 	 1.8519 
642.1809 	 -1.4191 	 0.9036 	 2161.3939 	 0.0859 	 2.4191 
846.455 	 -3.4907 	 0.5145 	 2163.443 	 0.6455 	 4.4907 
862.2315 	 -2.813 	 0.7307 	 2163.5931 	 0.3645 	 3.813 
