# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
169.2311 	 -0.8226 	 0.9878 	 2142.9441 	 0.0131 	 1.8226 
324.4393 	 -2.213 	 0.97 	 2144.6168 	 0.0279 	 3.213 
570.4205 	 -0.0717 	 0.9907 	 2147.2327 	 0.02 	 1.0717 
578.5672 	 -0.2041 	 0.9846 	 2147.3217 	 0.024 	 1.2041 
647.7191 	 2.0477 	 0.9952 	 2148.0494 	 0.0163 	 -1.0477 
654.9034 	 -1.4272 	 0.9309 	 2148.1292 	 0.0716 	 2.4272 
730.6495 	 -0.4182 	 0.9577 	 2148.9241 	 0.0546 	 1.4182 
805.7698 	 -1.1526 	 0.9744 	 2149.7119 	 0.017 	 2.1526 
824.4745 	 -2.2379 	 0.8774 	 2149.9106 	 0.1226 	 3.2379 
963.6708 	 -2.7301 	 0.6644 	 2151.3702 	 0.3541 	 3.7301 
