# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
57.8879 	 -1.4705 	 0.9005 	 2112.5439 	 0.1142 	 2.4705 
124.0627 	 -0.8524 	 0.9591 	 2113.3075 	 0.045 	 1.8524 
188.9593 	 -0.2225 	 0.9718 	 2114.0565 	 0.0423 	 1.2225 
253.7284 	 -0.9379 	 0.9632 	 2114.8108 	 0.0381 	 1.9379 
284.441 	 -0.6775 	 0.9802 	 2115.1598 	 0.026 	 1.6775 
320.9264 	 -0.522 	 0.9685 	 2115.5731 	 0.033 	 1.522 
369.8429 	 2.2859 	 0.9851 	 2116.1364 	 0.0245 	 -1.2859 
376.4403 	 -1.653 	 0.939 	 2116.218 	 0.0636 	 2.653 
386.2814 	 -0.8311 	 0.9871 	 2116.3366 	 0.0302 	 1.8311 
516.6116 	 -1.5753 	 0.9821 	 2117.8246 	 0.0266 	 2.5753 
555.0796 	 -0.7078 	 0.9764 	 2118.2657 	 0.0285 	 1.7078 
581.8303 	 -2.9076 	 0.5975 	 2118.5728 	 0.4079 	 3.9076 
592.9432 	 3.4942 	 0.9422 	 2118.6935 	 0.0668 	 -2.4942 
633.2681 	 -0.1144 	 0.9853 	 2119.1586 	 0.0285 	 1.1144 
673.3774 	 -0.7792 	 0.9736 	 2119.6178 	 0.0305 	 1.7792 
687.777 	 -2.8376 	 0.8922 	 2119.7771 	 0.0918 	 3.8376 
714.657 	 -2.0149 	 0.9154 	 2120.0855 	 0.077 	 3.0149 
740.4318 	 -1.506 	 0.9206 	 2120.3832 	 0.0737 	 2.506 
755.0905 	 1.7018 	 0.9844 	 2120.5462 	 0.0273 	 -0.7018 
796.1334 	 -1.0788 	 0.9781 	 2121.0276 	 0.0275 	 2.0788 
883.5071 	 -1.384 	 0.9628 	 2121.9933 	 0.027 	 2.384 
926.3617 	 -0.3576 	 0.9858 	 2122.4879 	 0.0253 	 1.3576 
970.5 	 -0.6185 	 0.9844 	 2122.9894 	 0.024 	 1.6185 
