# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
73.3753 	 -0.1579 	 0.9888 	 2141.9468 	 0.0068 	 1.1579 
107.3225 	 -0.2356 	 0.9931 	 2142.2962 	 0.0069 	 1.2356 
162.8769 	 -0.7721 	 0.9885 	 2142.9008 	 0.0099 	 1.7721 
222.9698 	 -2.1492 	 0.9728 	 2143.5689 	 0.0091 	 3.1492 
323.2144 	 -1.7889 	 0.9838 	 2144.6171 	 0.0171 	 2.7889 
569.5815 	 2.2308 	 0.9907 	 2147.232 	 0.017 	 -1.2308 
578.0852 	 -0.5723 	 0.9898 	 2147.3235 	 0.021 	 1.5723 
647.3394 	 2.0107 	 0.9935 	 2148.0458 	 0.0118 	 -1.0107 
654.0925 	 -1.4285 	 0.9589 	 2148.129 	 0.0452 	 2.4285 
683.141 	 -1.6503 	 0.9878 	 2148.4275 	 0.009 	 2.6503 
729.8061 	 -0.5971 	 0.9629 	 2148.9243 	 0.0474 	 1.5971 
740.6912 	 -0.1671 	 0.9862 	 2149.0413 	 0.0111 	 1.1671 
782.1088 	 -1.1446 	 0.9906 	 2149.4825 	 0.0134 	 2.1446 
824.4194 	 -2.0946 	 0.9235 	 2149.912 	 0.0791 	 3.0946 
963.0942 	 -2.7006 	 0.7613 	 2151.3675 	 0.1724 	 3.7006 
1000.0754 	 -2.9014 	 0.8763 	 2151.7604 	 0.1327 	 3.9014 
