# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
40.3195 	 -0.8359 	 0.9467 	 2155.251 	 0.0499 	 1.8359 
63.9173 	 -2.4485 	 0.9543 	 2155.5104 	 0.0281 	 3.4485 
84.3693 	 -1.2381 	 0.9508 	 2155.7116 	 0.0454 	 2.2381 
262.0251 	 -1.5061 	 0.9755 	 2157.5139 	 0.0369 	 2.5061 
319.9415 	 -0.7698 	 0.9449 	 2158.1207 	 0.0507 	 1.7698 
416.8995 	 -2.4918 	 0.7913 	 2159.1052 	 0.1947 	 3.4918 
504.2991 	 -2.0345 	 0.9092 	 2159.9904 	 0.0965 	 3.0345 
591.3923 	 -0.8122 	 0.9255 	 2160.8707 	 0.0809 	 1.8122 
597.2499 	 -0.6981 	 0.9192 	 2160.9336 	 0.0891 	 1.6981 
609.9028 	 -0.2333 	 0.9597 	 2161.0646 	 0.0644 	 1.2333 
627.6177 	 -0.7719 	 0.9443 	 2161.2386 	 0.0526 	 1.7719 
635.5671 	 -1.2459 	 0.9343 	 2161.3146 	 0.0516 	 2.2459 
643.0686 	 -0.7623 	 0.9271 	 2161.3939 	 0.0817 	 1.7623 
761.2241 	 -1.8825 	 0.961 	 2162.5738 	 0.0633 	 2.8825 
847.1722 	 -2.8828 	 0.533 	 2163.4424 	 0.4035 	 3.8828 
862.2484 	 -2.6662 	 0.7582 	 2163.5982 	 0.1964 	 3.6662 
