# Pixels  	 Obs Depths 	 Obs STD 	 Wavelengths 	 Tell depths 	 Tell STD
73.3134 	 -0.4129 	 0.988 	 2141.9468 	 0.0067 	 1.4129 
107.2598 	 -0.0397 	 0.9923 	 2142.2962 	 0.0073 	 1.0397 
164.5313 	 -1.8596 	 0.9849 	 2142.9071 	 0.0125 	 2.8596 
169.8527 	 -0.3129 	 0.9899 	 2142.9637 	 0.0102 	 1.3129 
223.6233 	 -2.486 	 0.9695 	 2143.569 	 0.0101 	 3.486 
323.3028 	 -1.1792 	 0.9835 	 2144.6172 	 0.017 	 2.1792 
569.8794 	 -0.1751 	 0.9857 	 2147.2319 	 0.0189 	 1.1751 
578.2646 	 -0.7254 	 0.9882 	 2147.3235 	 0.0233 	 1.7254 
647.4693 	 -0.1683 	 0.993 	 2148.0452 	 0.0128 	 1.1683 
654.6236 	 -1.503 	 0.956 	 2148.129 	 0.0465 	 2.503 
730.3694 	 -0.6248 	 0.9597 	 2148.9242 	 0.0518 	 1.6248 
741.0476 	 -0.2475 	 0.9844 	 2149.0416 	 0.0115 	 1.2475 
804.6059 	 1.7261 	 0.9916 	 2149.7096 	 0.0158 	 -0.7261 
824.7408 	 -2.098 	 0.9124 	 2149.9123 	 0.0842 	 3.098 
891.2206 	 -0.7002 	 0.9878 	 2150.6062 	 0.0229 	 1.7002 
896.075 	 -0.4846 	 0.9919 	 2150.6702 	 0.0171 	 1.4846 
921.8102 	 -0.1491 	 0.9876 	 2150.929 	 0.0183 	 1.1491 
963.7177 	 -2.5189 	 0.7282 	 2151.3674 	 0.1648 	 3.5189 
1001.0162 	 -2.6139 	 0.8591 	 2151.7591 	 0.1302 	 3.6139 
